"","x"
"X1","0.155031729"
"X2","0.154232113"
"X3","0.153628347"
"X4","0.150352227"
"X5","0.149835057"
"X6","0.147061365"
"X7","0.146887441"
"X8","0.146338144"
"X9","0.145092053"
"X10","0.145592027"
"X11","0.147373168"
"X12","0.146801350"
"X13","0.146420607"
"X14","0.146214288"
"X15","0.145257233"
"X16","0.144144545"
"X17","0.144565780"
"X18","0.143846670"
"X19","0.143524385"
"X20","0.144193495"
"X21","0.144677598"
"X22","0.144382523"
"X23","0.142547382"
"X24","0.141926910"
"X25","0.14129762"
"X26","0.141168738"
"X27","0.14133309"
"X28","0.140742118"
"X29","0.140958358"
